chain,token_symbol,token_name,contract_address,decimals,raw_balance,balance,balance_usd,source
ethereum,USDC,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,21337461046,21337.461046,,blockscout
ethereum,LINK,Chainlink,0x514910771AF9Ca656af840dff83E8264EcF986CA,18,83637215293943707600,83.6372152939437076,,blockscout
ethereum,PNKSTR,PunkStrategy,0xc50673EDb3A7b94E8CAD8a7d4E0cD68864E33eDF,18,18401501020373338129609,18401.501020373338129609,,blockscout
ethereum,WETH,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,26466684818229609,0.026466684818229609,,blockscout
ethereum,WSTETH,Wrapped stETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,18,1561563907850471,0.001561563907850471,,blockscout
ethereum,RETH,Rocket Pool ETH,0xae78736Cd615f374D3085123A210448E74Fc6393,18,1492462311557788,0.001492462311557788,,blockscout
ethereum,TETH,Treehouse ETH,0xD11c452fc99cF405034ee446803b6F6c1F6d5ED8,18,27613689964636,0.000027613689964636,,blockscout
ethereum,KPER,Kper.network,0xc89B4a8a121Dd3E726fE7515e703936cF83e3350,18,1789040000000000000000,1789.04,,blockscout
ethereum,MORPHO,Morpho,0x58D97B57BB95320F9a05dC918Aef65434969c2B2,18,581148768591139,0.000581148768591139,,blockscout
ethereum,HEX,HEX,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,8,100000000,1,,blockscout
ethereum,YFED,YFED.FINANCE,0x2DBd330bC9B7f3A822a9173aB52172BdDDcAcE2A,8,100,0.000001,,blockscout
ethereum,FAM,yefam.finance,0x9D24364b97270961b2948734aFe8d58832Efd43a,18,3000000000,0.000000003,,blockscout
ethereum,AAVE,Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,18,3252,0.000000000000003252,,blockscout
ethereum,GHO,GHO,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,18,94195,0.000000000000094195,,blockscout
ethereum,RLP,Resolv Liquidity Provider Token,0x4956b52aE2fF65D74CA2d61207523288e4528f96,18,12069,0.000000000000012069,,blockscout
ethereum,SUSDE,Ethena Staked USDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,18,2087,0.000000000000002087,,blockscout
ethereum,USDO,OpenEden OpenDollar,0x8238884Ec9668Ef77B90C6dfF4D1a9F4F4823BFe,18,7,0.000000000000000007,,blockscout
ethereum,aEthRLUSD,Aave Ethereum RLUSD,0xFa82580c16A31D0c1bC632A36F82e83EfEF3Eec0,18,135684513033308810960,135.68451303330881096,,blockscout
ethereum,lstRZR,Liquid Staked Rezerve.money,0xB33f4B9C6f0624EdeAE8881c97381837760D52CB,18,46713389587466187722,46.713389587466187722,,blockscout
ethereum,WAR,Trump Wars,0x4921bB864dE2E557939B074be20Ff4B98723b86b,18,1000000000000000000,1,,blockscout
ethereum,MASK,Trump Mask,0xfE233163DAf81861750bDAeaF30F2B4036648bd8,18,1000000000000000000,1,,blockscout
ethereum,DOG,Little Dog,0x37dABAD8aC496148596196FE9ADEB54eE3111c78,18,1000000000000000000,1,,blockscout
ethereum,DOG,Royal Dog,0x00e2B6D170740c15bF9Fb01D0B6e77C0d4510E32,18,1000000000000000000,1,,blockscout
ethereum,REKT,Trump Rekt,0x496a35a65C00B4AED125D19df3871e6b4cB05188,18,1000000000000000000,1,,blockscout
ethereum,DOGE,Trump Doge,0x290b3B9f7661a6834135Be44c3475AEf987Fa3b2,18,1000000000000000000,1,,blockscout
ethereum,HAT,Trump Hat,0x1509B54dFE30dCa512a981cAc6d9181560919851,18,1000000000000000000,1,,blockscout
ethereum,MANYU,Lil Manyu,0x33F1f813b596299b458257018600D943C8aff474,18,1000000000000000000,1,,blockscout
ethereum,STAR,Trump Star,0x60597bFF98bFb335F57d08Bd2d23f96eE0015bDC,18,1000000000000000000,1,,blockscout
ethereum,FORT,Trump Fort,0x276CEA2c682f16a9C2A455338BDB075134669Dd8,18,1000000000000000000,1,,blockscout
ethereum,CAT,Trump Cat,0x522A8f36e23fe1C5018E28764FEa161C5f951CaD,18,1000000000000000000,1,,blockscout
ethereum,PORT,DePORT,0x83819BF7e906Bcf57e9F5b20453a2eFF43f3845C,18,1000000000000000000,1,,blockscout
ethereum,PAP,Apu Pepe,0x84bBc67B11881fdAFFB4f0Ca10a3A07300A151a6,18,1000000000000000000,1,,blockscout
ethereum,slpETH,StakingLPEth,0x3976d71e7DdFBaB9bD120Ec281B7d35fa0F28528,18,330403736448816452,0.330403736448816452,,blockscout
ethereum,wstETH,Wrapped liquid staked Ether 2.0 (wrapped),0xc63FF8aF78414F90069aF3558D939127625ABE78,18,1492462311557788,0.001492462311557788,,blockscout
ethereum,rETH,Rocket Pool ETH (wrapped),0x289c74E8E83B95C2B6e166E02cD8a90dd52d492A,18,1492462311557788,0.001492462311557788,,blockscout
base,USDC,USDC,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,6,3976574464,3976.574464,,blockscout
base,LINK,Chainlink,0x88Fb150BDc53A65fe94Dea0c9BA0a6dAf8C6e196,18,43258271035974931389,43.258271035974931389,,blockscout
base,VIRTUAL,Virtuals Protocol,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,18,412869582966879380176,412.869582966879380176,,blockscout
base,YOUSD,Yield Optimizer USD,0x0000000f2eB9f69274678c76222B35eEc7588a65,6,118700774,118.700774,,blockscout
base,RETH,Rocket Pool ETH,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,18,44214998269537803,0.044214998269537803,,blockscout
base,COW,CoW Protocol,0xc694a91e6b071bF030A18BD3053A7fE09B6DaE69,18,359223743646168370935,359.223743646168370935,,blockscout
base,PRL,Parallel Governance,0xfD28f108e95f4D41daAE9dbfFf707D677985998E,18,59759814275149787412376,59759.814275149787412376,,blockscout
base,WDAG,Wrapped DAG,0x74299A718b2c44483a27325d7725F0B2646DE3B1,8,26519764837515,265197.64837515,,blockscout
base,AWETH,Aave v3 WETH,0xD4a0e0b9149BCee3C920d2E00b5dE09138fd8bb7,18,270872651934169,0.000270872651934169,,blockscout
base,CBBTC,Coinbase Wrapped BTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,8,2,0.00000002,,blockscout
base,MANYU,Based Manyu,0x38dA67e7256e2Eec878B6D83A6Fb6a4564C98e2D,18,5000000000000000000,5,,blockscout
base,CGUSD,Cygnus Finance Global USD,0xCa72827a3D211CfD8F6b00Ac98824872b72CAb49,6,1,0.000001,,blockscout
base,WGC,Wild Goat Coin,0x3d63825B0d8669307366E6c8202f656b9E91D368,6,10000,0.01,,blockscout
base,WETH,L2 Standard Bridged WETH (Base),0x4200000000000000000000000000000000000006,18,873,0.000000000000000873,,blockscout
base,MORPHO,Morpho,0xBAa5CC21fd487B8Fcc2F632f3F4E8D37262a0842,18,11520,0.00000000000001152,,blockscout
base,SEAM,Seamless Protocol,0x1C7a460413dD4e964f96D8dFC56E7223cE88CD85,18,44801,0.000000000000044801,,blockscout
base,PONY,Pony Token,0x6ab297799335E7b0f60d9e05439Df156cf694Ba7,18,823887260897130000000000000,823887260.89713,,blockscout
base,NEET,NotInEmploymentEducationTraining,0x7Aae143Eb979aeC252Fee9F7f17fdD6b17597a86,18,2500000000000000000000000,2500000,,blockscout
base,TOXIC,Toxic by Virtuals,0xF814f1dE68e78E5c1962875E1c122fF4c8321c6d,18,2000000000000000000000000,2000000,,blockscout
base,TRUMPMOON,ElonTweetsButTrumpActuallyPumpsCoins,0xf2F8e0Ea55908AD45Dd5Fab178cd3905052a1819,18,1000000000000000000000000,1000000,,blockscout
base,GAYMAN,GoogleAmazonYcombMetaAppleNvidia,0x8132d520E848f82F95BFC93327b36A75180Fd9E9,18,1000000000000000000000000,1000000,,blockscout
base,MOON,MillionaireOutOfNowhere,0x1F143f4c7311b3D5ae4E87c163c052cb9139b045,18,25000000000000000000000,25000,,blockscout
base,SUPERMANTRUMP,SUPERMAN TRUMP,0x6aBB7105EC3192dBa43C1c6C41eA3c8EA624a0Aa,18,1000000000000000000000,1000,,blockscout
base,USDR,United States Doge Reserve (USDR),0x3Fa73d5b3CCCEBA68314FFE73762aAb5dd345789,18,413124100000000000000,413.1241,,blockscout
base,Ziggy,Ziggy Bear,0xE0D1232beC227d8e4af7C545465026137733F40c,18,359223743646168370935,359.223743646168370935,,blockscout
base,76,The Official 76 coin,0xf8572Bf30A84520Ec6D2ab394D9d803e68E518FA,18,359223743646168370935,359.223743646168370935,,blockscout
base,NEWBASE,New Base,0x6f127a32c05a7097E62e56239DA5b0B2bAC417b3,18,359223743646168370935,359.223743646168370935,,blockscout
base,BLOXX,BloxAPI,0x243801E360285343f2BC5672B7F485daFf78af5f,18,234000000000000000000,234,,blockscout
base,AXOME,Axolotl Meme,0x8C6F889888d22Ee1d8Aa2954B61b9F10E7402b95,18,160000000000000000000,160,,blockscout
base,CICI,Cici By Virtual,0x785fd049bc686CF810da33F515e25b8386D59d8c,18,154000000000000000000,154,,blockscout
base,BABY,Top Baby,0x4F72A2b30028E5435F9D69B28551443083527041,18,154000000000000000000,154,,blockscout
base,CCAT,Woman Ccat,0x76ed1Dc34DEC8B19B05a5EaBD84eB430702E3dF7,18,154000000000000000000,154,,blockscout
base,BORPA,Borpa Gold,0xaDa201B5251180C2c17f980E5444b653BA9fB3db,18,154000000000000000000,154,,blockscout
base,FAFO,FAFO,0x78c6D221a6b12f42C6189cEb53E49f3Ec098f52C,18,100000000000000000000,100,,blockscout
base,HORSE,Palace Horse,0xda1F6F9f3c7f7E23Dc7C19000c0557907806Aaa8,18,100000000000000000000,100,,blockscout
base,REXUS,Rexus by Virtuals,0xd23f7E1F33B2cF1F9dF1383B2828af3A5b279394,18,99000000000000000000,99,,blockscout
base,VIRTUALS,Boss By Virtuals,0x4702825B7fA91C95C8335c3B51E7D6eF54B75D07,18,78000000000000000000,78,,blockscout
base,FRANK ,Based Frank,0xA50C82BbfF7f04f2f18FfD22Ad8aB4c07FC91Ab8,18,78000000000000000000,78,,blockscout
base,COIN,GiraffeCoin,0xc357FcAdfaAD7Ad7e78F6D5F4F1579A3E095E432,18,68000000000000000000,68,,blockscout
base,USBR,United States Bitcoin Reserve,0x11DF1aA1f7639D9A49dBc2491f6AF5d682E5D807,18,50000000000000000000,50,,blockscout
base,emi,Doomer Wojak Girl,0xf9dE01F707a81d2CFb03e6F806Ce744be02DAC70,18,43258271035974931389,43.258271035974931389,,blockscout
base,DROID,Droid Dynamics,0x75e5C9689495A857dC13dCD5fA5fCf641fA2dCcB,18,43258271035974931389,43.258271035974931389,,blockscout
base,BAGWORKER,The Meme Job,0x71040B14536cb09D7f500984d86d3AA524a747E1,18,43258271035974931389,43.258271035974931389,,blockscout
base,RAGEGUY,Rage Guy,0x99053FD5312755885b9E47d8Ac4C8c679192beA0,18,43258271035974931389,43.258271035974931389,,blockscout
base,LAMBO,Lambo Coin,0xD7140e847B4693FAB617065807EdE4C71BF0aE40,18,43258271035974931389,43.258271035974931389,,blockscout
base,NETWOK,Netwok Coin,0xE5DC3B9F74658Ea3F3744A7A7B9dF591133BbF94,18,43258271035974931389,43.258271035974931389,,blockscout
base,VDOR,Vanguard digital Oil Reserve,0xfe1d0f8D6443DB9eE4B6D03c6788e3f80150Fae0,18,20000000000000000000,20,,blockscout
base,FDIT,Fidelity Digital Interest Token,0xA99c39b0B3Ed32F2B352875FbA3605a4F6F402D3,18,20000000000000000000,20,,blockscout
base,BRM,BullRun Meme,0xbd33da1f9a0Cc70224e9a71C80Baa92Fd0Eb82d0,18,10000000000000000000,10,,blockscout
